index,prime,log_prime,sqrt_prime,prime_mod_4,prime_mod_6,is_twin_prime
69,347,5.849324779946859,18.627936010197157,3,5,True
70,349,5.855071922202427,18.681541692269406,1,1,True
71,353,5.8664680569332965,18.788294228055936,1,5,False
72,359,5.883322388488279,18.947295321496416,3,5,False
73,367,5.905361848054571,19.157244060668017,3,1,False
74,373,5.921578419643816,19.313207915827967,1,1,False
75,379,5.937536205082426,19.467922333931785,3,1,False
76,383,5.948034989180646,19.570385790780925,3,5,False
77,389,5.963579343618446,19.72308292331602,1,5,False
78,397,5.983936280687191,19.924858845171276,1,1,False
79,401,5.993961427306569,20.024984394500787,1,5,False
80,409,6.013715156042802,20.223748416156685,1,1,False
81,419,6.037870919922137,20.46948949045872,3,5,True
82,421,6.042632833682381,20.518284528683193,1,1,True
83,431,6.066108090103747,20.760539492026695,3,5,True
84,433,6.07073772800249,20.808652046684813,1,1,True
85,439,6.0844994130751715,20.952326839756964,3,1,False
86,443,6.093569770045136,21.047565179849187,3,5,False
87,449,6.1070228877422545,21.18962010041709,1,5,False
88,457,6.124683390894205,21.37755832643195,1,1,False
89,461,6.133398042996649,21.470910553583888,1,5,True
90,463,6.137727054086234,21.517434791350013,3,1,True
91,467,6.1463292576688975,21.61018278497431,3,5,False
92,479,6.171700597410915,21.88606862823929,3,5,False
93,487,6.18826412308259,22.06807649071391,3,1,False
94,491,6.19644412779452,22.15851980616034,3,5,False
95,499,6.212606095751519,22.338307903688676,3,1,False
96,503,6.220590170099739,22.427661492005804,3,5,False
97,509,6.2324480165505225,22.561028345356956,1,5,False
98,521,6.255750041753367,22.825424421026653,1,5,True
99,523,6.259581464064923,22.869193252058544,3,1,True
100,541,6.293419278846481,23.259406699226016,1,1,False
101,547,6.304448802421981,23.388031127053,3,1,False
102,557,6.322565239927284,23.600847442411894,1,5,False
103,563,6.333279628139691,23.727621035409346,3,5,False
104,569,6.343880434126331,23.853720883753127,1,5,True
105,571,6.3473892096560105,23.895606290697042,3,1,True
106,577,6.3578422665081,24.020824298928627,1,1,False
107,587,6.375024819828097,24.228082879171435,3,5,False
108,593,6.385194398997726,24.351591323771842,1,5,False
109,599,6.395261598115449,24.474476501040833,3,5,True
110,601,6.398594934535208,24.515301344262525,1,1,True
111,607,6.408528791059498,24.63736998950984,3,1,False
112,613,6.418364935936212,24.758836806279895,1,1,False
113,617,6.424869023905388,24.839484696748443,1,5,True
114,619,6.428105272684596,24.879710609249457,3,1,True
115,631,6.447305862541213,25.11971337416094,3,1,False
116,641,6.46302945692067,25.317977802344327,1,5,True
117,643,6.466144724237619,25.357444666211933,3,1,True
118,647,6.472346294500901,25.436194683953808,3,5,False
119,653,6.481577129276431,25.553864678361276,1,5,False
120,659,6.490723534502507,25.67099530598687,3,5,True
121,661,6.493753839851686,25.709920264364882,1,1,True
122,673,6.511745329644728,25.942243542145693,1,1,False
123,677,6.517671272912275,26.019223662515376,1,5,False
124,683,6.52649485957079,26.13426869074396,3,5,False
125,691,6.53813982376767,26.28687885618983,3,1,False
126,701,6.55250788703459,26.476404589747453,1,5,False
127,709,6.5638555265321274,26.627053911388696,1,1,False
128,719,6.577861357721047,26.814175355583846,3,5,False
129,727,6.588926477533519,26.962937525425527,3,1,False
130,733,6.597145701886651,27.073972741361768,1,1,False
131,739,6.6052979209482015,27.184554438136374,3,1,False
132,743,6.610696044717759,27.258026340878022,3,5,False
133,751,6.621405651764134,27.40437921208944,3,1,False
134,757,6.6293632534374485,27.51363298439521,1,1,False
135,761,6.634633357861686,27.586228448267445,1,5,False
136,769,6.645090969505644,27.730849247724095,1,1,False
137,773,6.650279048587422,27.80287754891569,1,5,False
138,787,6.668228248417403,28.053520278211074,3,1,False
139,797,6.680854678790215,28.231188426986208,1,5,False
140,809,6.695798917058491,28.442925306655784,1,5,True
141,811,6.698268054115413,28.478061731796284,3,1,True
142,821,6.710523109452428,28.653097563788805,1,5,True
143,823,6.71295620067707,28.687976575562104,3,1,True
144,827,6.717804695023691,28.75760768909681,3,5,True
145,829,6.720220155135295,28.792360097775937,1,1,True
146,839,6.732210706467206,28.965496715920477,3,5,False
147,853,6.748759547491679,29.206163733020468,1,1,False
148,857,6.75343791859778,29.274562336608895,1,5,True
149,859,6.755768921984255,29.30870177950569,3,1,True
150,863,6.760414691083428,29.376861643136763,3,5,False
151,877,6.776506992372183,29.614185789921695,1,1,False
152,881,6.78105762593618,29.68164415931166,1,5,True
153,883,6.78332520060396,29.715315916207253,3,1,True
154,887,6.787844982309579,29.782545223670862,3,5,False
155,907,6.810142450115136,30.116440692751194,3,1,False
156,911,6.814542897259958,30.18277654557314,3,5,False
157,919,6.823286122355687,30.315012782448235,3,1,False
158,929,6.834108738813838,30.479501308256342,1,5,False
159,937,6.842683282238422,30.610455730027933,1,1,False
160,941,6.846943139585379,30.675723300355934,1,5,False
161,947,6.853299093186078,30.773365106858236,3,5,False
162,953,6.859614903654202,30.870698080866262,1,5,False
163,967,6.874198495453294,31.096623610932426,3,1,False
164,971,6.878326468291325,31.160872901765767,3,5,False
165,977,6.884486652042782,31.25699921617557,1,5,False
166,983,6.890609120147166,31.352830813181765,3,5,False
167,991,6.898714534329988,31.480152477394387,3,1,False
168,997,6.904750769961838,31.575306807693888,1,1,False
169,1009,6.9167150203536085,31.76476034853718,1,1,False
170,1013,6.920671504248683,31.827660925679098,1,5,False
171,1019,6.926577033222725,31.921779399024736,3,5,True
172,1021,6.928537818164665,31.953090617340916,1,1,True
173,1031,6.93828448401696,32.109188716004645,3,5,True
174,1033,6.940222469119639,32.14031735997639,1,1,True
175,1039,6.946013991099227,32.2335229225724,3,1,False
176,1049,6.955592608396297,32.38826948140329,1,5,True
177,1051,6.957497370876951,32.41913015489465,3,1,True
178,1061,6.966967138613983,32.57299494980466,1,5,True
179,1063,6.968850378341948,32.60368077380221,3,1,True
180,1069,6.974478911025045,32.69556544854363,1,1,False
181,1087,6.99117688712121,32.96968304366907,3,1,False
182,1091,6.994849985833071,33.03028912982749,3,5,True
183,1093,6.996681488176539,33.06055050963308,1,1,True
184,1097,7.00033446027523,33.12099032335839,1,5,False
185,1103,7.005789019253503,33.21144381083123,3,5,False
186,1109,7.011213987350367,33.301651610693426,1,5,False
187,1117,7.018401799069201,33.421549934136806,1,1,False
188,1123,7.023758954738443,33.51119216023208,3,1,False
189,1129,7.029087564149662,33.60059523282288,1,1,False
190,1151,7.048386408721883,33.926390907374746,3,5,True
191,1153,7.050122520269059,33.95585369269929,1,1,True
192,1163,7.0587581525186645,34.10278580995987,3,5,False
193,1171,7.065613363597717,34.219877264537345,3,1,False
194,1181,7.074116816197362,34.36568055487916,1,5,False
195,1187,7.079184394609668,34.45286635390443,3,5,False
196,1193,7.084226422097916,34.539832078341085,1,5,False
197,1201,7.0909098220799835,34.655446902326915,1,1,False
198,1213,7.10085190894405,34.828149534535996,1,1,False
199,1217,7.104144092987527,34.88552708502482,1,5,False
200,1223,7.109062135687172,34.97141690009142,3,5,False
201,1229,7.113956109566034,35.05709628591621,1,5,True
202,1231,7.115582126184454,35.08560958569767,3,1,True
203,1237,7.1204443723924875,35.17101079013795,1,1,False
204,1249,7.130098510125578,35.34119409414458,1,1,False
205,1259,7.138073034044347,35.482389998420345,3,5,False
206,1277,7.152268856032539,35.73513677041127,1,5,True
207,1279,7.153833801578843,35.76310948449533,3,1,True
208,1283,7.1569563646156364,35.81898937714463,3,5,False
209,1289,7.161622002939187,35.90264614203248,1,5,True
210,1291,7.1631723908466425,35.93048844644336,3,1,True
211,1297,7.167809184316444,36.013886210738214,1,1,False
212,1301,7.170888478512505,36.069377593742864,1,5,True
213,1303,7.172424577124845,36.09709129556009,3,1,True
214,1307,7.175489713624222,36.15245496505044,3,5,False
215,1319,7.1846291527173145,36.318039594669756,3,5,True
216,1321,7.186144304522325,36.345563690772494,1,1,True
217,1327,7.190676034332207,36.42801120017397,3,1,False
218,1361,7.215975002651466,36.89173349139343,1,5,False
219,1367,7.220373836723949,36.9729630946723,3,5,False
220,1373,7.224753405767971,37.05401462729781,1,5,False
221,1381,7.2305631534092925,37.16180835212409,1,1,False
222,1399,7.243512974665482,37.403208418530085,3,1,False
223,1409,7.25063551189868,37.53664875824692,1,5,False
224,1423,7.260522598089852,37.72267222772003,3,1,False
225,1427,7.2633296174768365,37.77565353504821,3,5,True
226,1429,7.264730177929867,37.8021163428716,1,1,True
227,1433,7.267525427828172,37.8549864614954,1,5,False
228,1439,7.271703706887368,37.93415347678132,3,5,False
229,1447,7.277247726631484,38.03945320322047,3,1,False
230,1451,7.280008252884188,38.09199390948182,3,5,True
231,1453,7.2813856635702825,38.118237105091836,1,1,True
232,1459,7.285506548522785,38.19685850956856,3,1,False
233,1471,7.293697720601438,38.353617821530214,3,1,False
234,1481,7.300472814267799,38.48376280978771,1,5,True
235,1483,7.301822342137932,38.50973902793941,3,1,True
236,1487,7.304515946460155,38.561638969317684,3,5,True
237,1489,7.305860032684009,38.58756276314948,1,1,True
238,1493,7.30854279753919,38.63935817272331,1,5,False
239,1499,7.312553498102598,38.71692136521188,3,5,False
240,1511,7.32052696227274,38.87158345115362,3,5,False
241,1523,7.328437352895162,39.02563260217571,3,5,False
242,1531,7.333676395657684,39.1279950930277,3,1,False
243,1543,7.341483852363161,39.28103868280471,3,1,False
244,1549,7.3453648404168685,39.35733730830886,1,1,False
245,1553,7.347943823148687,39.408120990476064,1,5,False
246,1559,7.351799869057777,39.48417404479927,3,5,False
247,1567,7.356918242356021,39.585350825778974,3,1,False
248,1571,7.359467638255621,39.63584236521283,3,5,False
249,1579,7.364547014255642,39.736632972611055,3,1,False
250,1583,7.367077059881012,39.786932528155525,3,5,False
251,1597,7.3758821482150125,39.96248240537617,1,1,False
252,1601,7.3783837129967145,40.01249804748511,1,5,False
253,1607,7.382124365737512,40.08740450565489,3,5,True
254,1609,7.3833681469923835,40.11234224026316,1,1,True
255,1613,7.385851078125209,40.162171256046406,1,5,False
256,1619,7.389563953677635,40.23679907746142,3,5,True
257,1621,7.390798521735676,40.26164427839479,1,1,True
258,1627,7.394493107219038,40.33608806019741,3,1,False
259,1637,7.400620577371135,40.45985664828782,1,5,False
260,1657,7.4127640174265625,40.70626487409524,1,1,False
261,1663,7.416378479192928,40.779897008207364,3,1,False
262,1667,7.418780882750794,40.82891132518721,3,5,True
263,1669,7.419979923661835,40.85339643163099,1,1,True
264,1693,7.4342573821331355,41.14608122288197,1,1,False
265,1697,7.436617265234227,41.19465984809196,1,5,True
266,1699,7.4377951216719325,41.2189276910499,3,1,True
267,1709,7.443663683115591,41.340053217188775,1,5,False
268,1721,7.450660796211539,41.48493702538308,1,5,True
269,1723,7.45182223652793,41.50903516103452,3,1,True
