x,pi_x,pnt_approximation,li_approximation,pi_x_over_x_ln_x
86000,8362,7569.021616425286,8383.407084677256,1.1047662992339589
87000,8450,7649.250462087468,8471.247713699553,1.1046833989658653
88000,8543,7729.406075735449,8559.000122789465,1.1052595653912693
89000,8619,7809.489419402399,8646.665486996762,1.1036572991041387
90000,8713,7889.501431716574,8734.244952546767,1.1043790378150995
91000,8802,7969.443028725778,8821.739637861858,1.1044686521094735
92000,8887,8049.315104684003,8909.150634535838,1.1040690896581422
93000,8984,8129.118532802382,8996.479008263943,1.1051628739017674
94000,9070,8208.854165966448,9083.725799730888,1.104904511229329
95000,9157,8288.522837421544,9170.892025459303,1.1047806924844799
96000,9252,8368.125361428123,9257.978678620726,1.1056239719646161
97000,9336,8447.662533888559,9344.986729811171,1.1051577832977815
98000,9418,8527.135132947005,9431.91712779318,1.1044741115466654
99000,9505,8606.543919563694,9518.770800206115,1.1043922030530755
100000,9592,8685.889638065037,9605.548654246393,1.1043198105999443
